SAs,Memories,Cost
13,40,0.019898914
13,41,0.021208784
13,42,0.022595217
13,43,0.024062424
13,44,0.025614834
13,45,0.027257104
13,46,0.028994131
13,47,0.030831068
13,48,0.032445596
13,49,0.034478348
13,50,0.036626941
13,51,0.038897612
13,52,0.041296919
13,53,0.043831757
13,54,0.046509378
13,55,0.049337407
13,56,0.052323864
13,57,0.055477181
13,58,0.058806228
13,59,0.062320332
13,60,0.066029305
13,61,0.069943464
13,62,0.074073665
13,63,0.078431326
13,64,0.083028459
13,65,0.087877703
13,66,0.092992354
13,67,0.098386407
13,68,0.104074587
13,69,0.110072394
13,70,0.116396142
13,71,0.123063007
13,72,0.130091074
13,73,0.137499383
13,74,0.14530799
13,75,0.153538019
13,76,0.162211725
13,77,0.171352556
13,78,0.180985224
13,79,0.191135776
13,80,0.201831672
13,81,0.213101868
13,82,0.224976903
13,83,0.237488994
13,84,0.250672134
13,85,0.264562201
13,86,0.27919707
13,87,0.294616737
13,88,0.310863445
13,89,0.327981829
13,90,0.34601906
13,91,0.365025008
13,92,0.385052412
13,93,0.406157063
13,94,0.428398004
13,95,0.451837739
13,96,0.467664828
14,14,0.00302636
14,15,0.003323253
14,16,0.003602238
14,17,0.003933884
14,18,0.004286161
14,19,0.004660333
14,20,0.00500716
14,21,0.005424985
14,22,0.005868675
14,23,0.006339781
14,24,0.00677154
14,25,0.007297162
14,26,0.007855048
14,27,0.008447091
14,28,0.009075285
14,29,0.00974173
14,30,0.010448639
14,31,0.01119834
14,32,0.011873353
14,33,0.012707695
14,34,0.013592074
14,35,0.014529319
14,36,0.015522408
14,37,0.016574476
14,38,0.017688819
14,39,0.018868908
14,40,0.02011839
14,41,0.021441106
14,42,0.022841093
14,43,0.024322598
14,44,0.025890088
14,45,0.027548261
14,46,0.029302057
14,47,0.031156673
14,48,0.032786395
14,49,0.034838592
14,50,0.037007679
14,51,0.039299946
14,52,0.041722007
14,53,0.044280818
14,54,0.046983692
14,55,0.049838323
14,56,0.052852797
14,57,0.056035622
14,58,0.059395745
14,59,0.062942573
14,60,0.066686002
14,61,0.070636443
14,62,0.074804843
14,63,0.079202721
14,64,0.083842194
14,65,0.088736011
14,66,0.093897586
14,67,0.099341037
14,68,0.105081217
14,69,0.111133765
14,70,0.117515139
14,71,0.124242666
14,72,0.131334592
14,73,0.138810128
14,74,0.146689509
14,75,0.154994049
14,76,0.163746202
14,77,0.172969628
14,78,0.182689263
14,79,0.19293139
14,80,0.203723722
14,81,0.215095477
14,82,0.227077478
14,83,0.239702238
14,84,0.253004066
14,85,0.267019173
14,86,0.281785792
14,87,0.297344291
14,88,0.313737317
14,89,0.331009928
14,90,0.349209745
14,91,0.36838712
14,92,0.388595301
14,93,0.409890623
14,94,0.432332706
14,95,0.455984671
14,96,0.471972249
15,15,0.003376019
15,16,0.003657727
15,17,0.003992826
15,18,0.004348767
15,19,0.004726829
15,20,0.005077075
15,21,0.005499231
15,22,0.005947512
15,23,0.006423485
15,24,0.00685951
15,25,0.007390537
15,26,0.007954147
15,27,0.008552247
15,28,0.009186852
15,29,0.00986008
15,30,0.010574162
15,31,0.011331448
15,32,0.012013068
15,33,0.012855801
15,34,0.013749044
15,35,0.014695655
15,36,0.015698636
15,37,0.01676115
15,38,0.017886522
15,39,0.019078253
15,40,0.020340022
15,41,0.021675703
15,42,0.023089369
15,43,0.024585303
15,44,0.026168012
15,45,0.027842233
15,46,0.029612951
15,47,0.031485406
15,48,0.033130458
15,49,0.035202277
15,50,0.037392043
15,51,0.0397061
15,52,0.042151119
15,53,0.044734118
15,54,0.047462473
15,55,0.050343942
15,56,0.053386685
15,57,0.056599282
15,58,0.059990757
15,59,0.063570599
15,60,0.067348793
15,61,0.071335836
15,62,0.075542774
15,63,0.079981226
15,64,0.084663414
15,65,0.089602199
15,66,0.094811115
15,67,0.1003044
15,68,0.106097041
15,69,0.112204814
15,70,0.118644323
15,71,0.12543305
15,72,0.132589401
15,73,0.14013276
15,74,0.148083542
15,75,0.156463253
15,76,0.165294549
15,77,0.174601303
15,78,0.184408679
15,79,0.194743198
15,80,0.205632824
15,81,0.217107047
15,82,0.22919697
15,83,0.241935409
15,84,0.25535699
15,85,0.269498264
15,86,0.284397819
15,87,0.300096407
15,88,0.316637077
15,89,0.334065316
15,90,0.352429202
15,91,0.37177957
15,92,0.392170186
15,93,0.413657932
15,94,0.436303016
15,95,0.460169179
15,96,0.476318788
16,16,0.003713794
16,17,0.004052381
16,18,0.004412025
16,19,0.004794015
16,20,0.005147715
16,21,0.005574246
16,22,0.006027165
16,23,0.006508052
16,24,0.006948385
16,25,0.007484872
16,26,0.00805426
16,27,0.008658478
16,28,0.009299556
16,29,0.009979632
16,30,0.010700956
16,31,0.011465901
16,32,0.01215419
16,33,0.013005392
16,34,0.013907586
16,35,0.01486365
16,36,0.015876616
16,37,0.016949674
16,38,0.018086178
16,39,0.019289659
16,40,0.020563829
16,41,0.021912595
16,42,0.023340066
16,43,0.024850562
16,44,0.026448628
16,45,0.028139045
16,46,0.029926839
16,47,0.031817295
16,48,0.033477814
16,49,0.035569433
16,50,0.037780064
16,51,0.040116108
16,52,0.042584293
16,53,0.045191697
16,54,0.04794576
16,55,0.050854309
16,56,0.053925573
16,57,0.057168207
16,58,0.060591313
16,59,0.064204464
16,60,0.06801773
16,61,0.072041702
16,62,0.07628752
16,63,0.080766904
16,64,0.085492186
16,65,0.090476339
16,66,0.095733012
16,67,0.101276573
16,68,0.10712214
16,69,0.113285627
16,70,0.119783786
16,71,0.126634254
16,72,0.1338556
16,73,0.141467383
